Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
3200000,820,Badlapur East,2,1,0,3902.439024390244,11
3100000,920,Badlapur East,2,1,1,3369.5652173913045,11
2600000,510,Badlapur East,1,1,1,5098.0392156862745,11
3565999,703,Badlapur East,2,1,1,5072.544807965861,11
4267000,841,Badlapur East,2,1,1,5073.72175980975,11
4427000,873,Badlapur East,2,1,1,5071.019473081329,11
3872000,762,Badlapur East,2,1,1,5081.364829396325,11
3125000,615,Badlapur East,1,1,1,5081.30081300813,11
2725000,535,Badlapur East,1,1,1,5093.457943925234,11
3811999,750,Badlapur East,2,1,1,5082.665333333333,11
4052000,798,Badlapur East,2,1,1,5077.694235588972,11
2950000,580,Badlapur East,1,1,1,5086.206896551724,11
2575000,505,Badlapur East,1,1,1,5099.009900990099,11
2750000,700,Badlapur East,1,1,1,3928.5714285714284,11
2399000,620,Badlapur West,1,1,1,3869.3548387096776,12
2200000,670,Badlapur West,1,0,1,3283.582089552239,12
2110000,545,Badlapur West,1,1,0,3871.559633027523,12
2077000,620,Badlapur West,1,1,1,3350.0,12
2425000,690,Badlapur West,1,1,1,3514.4927536231885,12
2400000,700,Badlapur West,1,0,0,3428.5714285714284,12
2650000,650,Badlapur West,1,1,0,4076.923076923077,12
12200000,1327,Balkum,3,1,1,9193.669932177845,13
11000000,440,Bandra East,1,0,1,25000.0,14
42500000,1305,Bandra East,2,1,1,32567.049808429118,14
60000000,1750,Bandra East,3,1,1,34285.71428571428,14
68000000,1500,Bandra East,2,1,0,45333.333333333336,14
35000000,1150,Bandra East,2,1,0,30434.782608695652,14
30400000,1100,Bandra East,2,1,0,27636.363636363636,14
80000000,1980,Bandra East,3,1,0,40404.0404040404,14
58500000,1700,Bandra East,3,1,0,34411.76470588235,14
115000000,3000,Bandra East,4,1,0,38333.333333333336,14
31200000,838,Bandra East,2,1,0,37231.50357995227,14
55000000,2000,Bandra East,3,1,0,27500.0,14
34700000,832,Bandra Kurla Complex,2,1,1,41706.730769230766,15
36500000,965,Bandra Kurla Complex,3,1,1,37823.83419689119,15
30000000,850,Bandra West,2,0,1,35294.117647058825,16
120000000,2893,Bandra West,4,1,1,41479.4331144141,16
72500000,1750,Bandra West,3,1,1,41428.57142857143,16
35000000,1000,Bandra West,2,1,1,35000.0,16
70000000,1800,Bandra West,3,1,0,38888.88888888889,16
25700000,750,Bandra West,2,0,0,34266.666666666664,16
25700000,750,Bandra West,2,1,0,34266.666666666664,16
20000000,550,Bandra West,1,1,0,36363.63636363636,16
70000000,1824,Bandra West,3,0,0,38377.19298245614,16
70000000,1824,Bandra West,3,1,0,38377.19298245614,16
60000000,1118,Bandra West,3,1,0,53667.26296958855,16
60000000,1200,Bandra West,2,1,0,50000.0,16
94900000,2255,Bandra West,3,1,1,42084.25720620843,16
52400000,1182,Bandra West,2,1,1,44331.64128595601,16
22000000,550,Bandra West,1,1,0,40000.0,16
120000000,2150,Bandra West,4,1,1,55813.95348837209,16
13500000,1050,Belapur,2,1,1,12857.142857142857,17
18000000,1335,Belapur,2,1,1,13483.14606741573,17
19000000,1267,Belapur,3,1,1,14996.05367008682,17
65000000,5000,Belapur,5,0,0,13000.0,17
14000000,1020,Belapur,2,1,0,13725.490196078432,17
19500000,1600,Belapur,3,1,0,12187.5,17
15500000,1300,Belapur,2,1,0,11923.076923076924,17
11500000,1000,Belapur,2,1,0,11500.0,17
27000000,2200,Belapur,3,1,0,12272.727272727272,17
25500000,1900,Belapur,3,1,0,13421.052631578947,17
25400000,1900,Belapur,3,1,0,13368.421052631578,17
22500000,1800,Belapur,3,1,0,12500.0,17
15900000,1090,Belapur,2,1,0,14587.155963302752,17
17500000,1335,Belapur,2,1,1,13108.614232209738,17
25000000,1650,Belapur,3,1,0,15151.515151515152,17
13000000,1001,Belapur,2,1,0,12987.012987012988,17
22000000,1800,Belapur,3,1,0,12222.222222222223,17
14000000,1225,Belapur,2,1,0,11428.57142857143,17
25000000,1850,Belapur,3,1,0,13513.513513513513,17
23500000,1850,Belapur,3,0,0,12702.702702702703,17
23000000,1850,Belapur,3,1,0,12432.432432432432,17
4600000,680,Beturkar Pada,1,1,0,6764.705882352941,18
21000000,1130,Bhakti Park,2,1,1,18584.070796460175,19
5500000,425,Bhandup West,1,0,0,12941.176470588236,20
6800000,543,Bhandup West,1,1,1,12523.020257826887,20
14000000,800,Bhandup West,2,1,1,17500.0,20
9000000,550,Bhandup West,2,1,1,16363.636363636364,20
9200000,556,Bhandup West,1,0,1,16546.762589928057,20
13000000,775,Bhandup West,1,1,1,16774.1935483871,20
21500000,1225,Bhandup West,3,1,1,17551.020408163266,20
26500000,1740,Bhandup West,3,1,0,15229.885057471265,20
21500000,1264,Bhandup West,3,1,0,17009.493670886077,20
30900000,2066,Bhandup West,3,1,1,14956.437560503387,20
36100000,2065,Bhandup West,3,1,1,17481.8401937046,20
55599999,3181,Bhandup West,4,1,1,17478.77994341402,20
27900000,1865,Bhandup West,3,0,1,14959.785522788205,20
15900000,1200,Bhandup West,2,1,0,13250.0,20
30000000,2000,Bhandup West,3,0,1,15000.0,20
59600000,3975,Bhandup West,4,0,1,14993.710691823899,20
45700000,3050,Bhandup West,4,0,1,14983.606557377048,20
23700000,1585,Bhandup West,2,0,1,14952.681388012617,20
26200000,1750,Bhandup West,3,0,1,14971.42857142857,20
22100000,1475,Bhandup West,2,0,1,14983.050847457627,20
30900000,2065,Bhandup West,3,0,1,14963.6803874092,20
7800000,575,Bhandup West,1,1,0,13565.217391304348,20
9000000,650,Bhandup West,1,1,0,13846.153846153846,20
2600000,360,Bhayandar East,1,0,1,7222.222222222223,21
4500000,560,Bhayandar East,1,0,0,8035.714285714285,21
8320000,1040,Bhayandar East,2,1,0,8000.0,21
5160000,645,Bhayandar East,1,1,0,8000.0,21
7320000,999,Bhayandar East,2,1,0,7327.327327327327,21
5577000,715,Bhayandar East,1,0,0,7800.0,21
4600000,675,Bhayandar East,1,0,0,6814.814814814815,21
3100000,365,Bhayandar East,1,0,0,8493.150684931506,21
6300000,730,Bhayandar East,2,1,0,8630.13698630137,21
3300000,450,Bhayandar East,1,0,0,7333.333333333333,21
6600000,750,Bhayandar East,2,1,0,8800.0,21
5150000,645,Bhayandar East,1,0,0,7984.496124031008,21
4000000,568,Bhiwandi,2,1,1,7042.2535211267605,22
8600000,1227,Bhiwandi,3,1,1,7008.9649551752245,22
5600000,802,Bhiwandi,2,1,1,6982.543640897756,22
9041000,1530,Bhiwandi,3,1,1,5909.150326797386,22
9167000,1490,Bhiwandi,3,1,1,6152.3489932885905,22
7881000,1295,Bhiwandi,2,1,1,6085.714285714285,22
5686000,1017,Bhiwandi,2,1,1,5590.953785644051,22
4000000,600,Bhiwandi,1,1,1,6666.666666666667,22
3800000,657,Bhiwandi,1,1,0,5783.866057838661,22
7900000,1491,Bhiwandi,3,1,1,5298.457411133468,22
5800000,1021,Bhiwandi,2,0,0,5680.705190989226,22
5800000,1021,Bhiwandi,2,1,0,5680.705190989226,22
6000000,1080,Bhiwandi,2,1,1,5555.555555555556,22
5800000,1080,Bhiwandi,2,1,1,5370.37037037037,22
5600000,1080,Bhiwandi,2,1,1,5185.185185185185,22
5500000,1080,Bhiwandi,2,1,1,5092.592592592592,22
2600000,630,Boisar,2,1,0,4126.984126984127,23
2400000,570,Boisar,1,0,0,4210.526315789473,23
4200000,1380,Boisar,3,0,0,3043.478260869565,23
3350000,1160,Boisar,3,0,0,2887.9310344827586,23
2500000,930,Boisar,2,0,0,2688.1720430107525,23
4200000,1120,Boisar,2,0,0,3750.0,23
2150000,820,Boisar,2,0,0,2621.951219512195,23
2800000,795,Boisar,2,1,0,3522.012578616352,23
2331000,740,Boisar,2,1,0,3150.0,23
4000000,1380,Boisar,3,1,0,2898.550724637681,23
3500000,1200,Boisar,3,1,0,2916.6666666666665,23
3317000,990,Boisar,3,1,1,3350.5050505050503,23
2500000,930,Boisar,2,1,0,2688.1720430107525,23
2350000,820,Boisar,2,0,0,2865.8536585365855,23
2350000,820,Boisar,2,1,0,2865.8536585365855,23
2100000,780,Boisar,2,0,0,2692.3076923076924,23
2178000,605,Boisar,1,1,1,3600.0,23
2178000,605,Boisar,1,0,1,3600.0,23
3877000,1077,Boisar,3,1,1,3599.8142989786443,23
3536000,1105,Boisar,3,1,0,3200.0,23
2300000,820,Boisar,2,1,0,2804.878048780488,23
2300000,820,Boisar,2,1,0,2804.878048780488,23
3200000,785,Boisar,2,1,0,4076.433121019108,23
3920000,1120,Boisar,3,1,0,3500.0,23
3600000,1200,Boisar,3,1,0,3000.0,23
2300000,740,Boisar,2,1,1,3108.108108108108,23
2600000,930,Boisar,2,0,0,2795.6989247311826,23
2600000,840,Boisar,2,1,1,3095.2380952380954,23
2000000,731,Boisar,2,0,0,2735.9781121751025,23
3900000,999,Boisar,2,1,0,3903.903903903904,23
2500000,675,Boisar,2,1,0,3703.703703703704,23
2139000,620,Boisar,1,1,0,3450.0,23
2050000,513,Boisar,1,1,0,3996.101364522417,23
2400000,714,Boisar,2,1,1,3361.344537815126,23
2600000,935,Boisar,2,1,0,2780.748663101604,23
3500000,1200,Boisar,3,0,0,2916.6666666666665,23
3365999,990,Boisar,3,0,1,3399.9989898989897,23
